mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessing,param_regressor,param_regressor__max_depth,param_regressor__min_samples_split,param_regressor__activation,param_regressor__alpha,param_regressor__hidden_layer_sizes,param_regressor__max_iter,params,split0_test_RMSLE,split1_test_RMSLE,split2_test_RMSLE,split3_test_RMSLE,mean_test_RMSLE,std_test_RMSLE,rank_test_RMSLE,split0_test_R-squared,split1_test_R-squared,split2_test_R-squared,split3_test_R-squared,mean_test_R-squared,std_test_R-squared,rank_test_R-squared,features_transform,target_transform
2.75027596950531,0.008871845240720436,0.06525403261184692,0.008817229382813497,MinMaxScaler(),RandomForestRegressor(),10,2,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 2}",-0.3574632278679603,-0.3565444275095216,-0.36267253724913767,-0.35318843866033883,-0.3574671578217396,0.0034005462546089493,77,0.9219508161206188,0.9232312327316111,0.9089577463135434,0.9250055909387739,0.9197863465261369,0.006345298739955531,82,"[0,1]",sqrt
2.741558790206909,0.006348319892341831,0.05943644046783447,0.0026592848646703063,MinMaxScaler(),RandomForestRegressor(),10,4,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 4}",-0.36137111839184716,-0.3552547489114763,-0.3630816246303704,-0.3564509457579437,-0.35903960942290936,0.00327109193049135,78,0.9200921611420462,0.9238528925218235,0.9087705434023478,0.9242366271425688,0.9192380560521964,0.006256611406467473,83,"[0,1]",sqrt
2.7175469994544983,0.0076958807663840235,0.06870681047439575,0.009987191818480403,MinMaxScaler(),RandomForestRegressor(),10,7,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 7}",-0.35856124757293983,-0.3551272802698132,-0.36716335186831106,-0.3561773176392269,-0.3592572993375727,0.004731107149495904,79,0.9195134390777392,0.9245227810597927,0.9067465745947678,0.9237193969532642,0.918625547921391,0.007117285554344526,85,"[0,1]",sqrt
2.981740355491638,0.0023200563843666783,0.06982541084289551,0.011480257776395402,MinMaxScaler(),RandomForestRegressor(),10,10,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 10}",-0.3621545145742975,-0.3578865317943975,-0.36468203851797976,-0.3590599132211686,-0.3609457495269609,0.0026615859967107037,81,0.9184472020266176,0.922645644575207,0.9067809366873729,0.922907361789367,0.917695286269641,0.0065452307577036455,86,"[0,1]",sqrt
3.013993740081787,0.027158457220074893,0.05983954668045044,0.006335340098510316,MinMaxScaler(),RandomForestRegressor(),10,15,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 15}",-0.36529478306219837,-0.357622879950844,-0.36776315325853576,-0.3616690338819632,-0.36308746253838536,0.0038277914753407833,82,0.9163761778266394,0.9230993720140184,0.9077867456751824,0.921869295521498,0.9172828977593345,0.006038738747244168,88,"[0,1]",sqrt
2.5047167539596558,0.007338529001239431,0.06101256608963013,0.008013425724007006,MinMaxScaler(),RandomForestRegressor(),10,20,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 20}",-0.37128102146155556,-0.36401912299888567,-0.3724312653495905,-0.364491725691713,-0.3680557838754362,0.0038257070387976095,88,0.9163532450279724,0.9206962954285152,0.906474695780592,0.9206501234997384,0.9160435899342045,0.005799298265896368,93,"[0,1]",sqrt
2.4228907227516174,0.009807179211453916,0.05352771282196045,0.0031054759634547096,MinMaxScaler(),RandomForestRegressor(),10,30,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 30}",-0.3832127667873122,-0.37265204884734654,-0.38657977046670217,-0.3745405392512218,-0.3792462813381457,0.005812507641897415,91,0.9115362814171257,0.9145801792991313,0.898500310957499,0.9165615215809815,0.9102945733136845,0.007040730125281016,98,"[0,1]",sqrt
2.3143150210380554,0.0073048130543283815,0.05605345964431763,0.00624233782777949,MinMaxScaler(),RandomForestRegressor(),10,40,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 40}",-0.4004617609717416,-0.3855530921618152,-0.3947746725375939,-0.38528608764107347,-0.39151890332805606,0.006422881562043227,99,0.9038741548067682,0.9091876134062269,0.8919674167633665,0.9094340782695339,0.903615815811474,0.007082532137029169,106,"[0,1]",sqrt
2.2967154383659363,0.005925560111366589,0.05091589689254761,0.0025145011604301984,MinMaxScaler(),RandomForestRegressor(),10,50,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 50}",-0.4090782376254522,-0.4017458224388297,-0.4100035022447267,-0.4022551416702564,-0.40577067599481625,0.003788641238514214,107,0.9005669683524014,0.9031492184608668,0.885848271416456,0.903490103517823,0.8982636404368868,0.007256574542520879,107,"[0,1]",sqrt
2.342509686946869,0.009609743711418517,0.06478989124298096,0.006939552075299015,MinMaxScaler(),RandomForestRegressor(),10,70,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 10, 'regressor__min_samples_split': 70}",-0.4347209066588199,-0.43216398540736234,-0.4370753542426151,-0.4223829691824586,-0.431585803872814,0.005589957355971221,115,0.8870752935277355,0.8886551225920254,0.8694355951758415,0.88970838966194,0.8837186002393855,0.008299374279756543,115,"[0,1]",sqrt
